"Analyte.Name","Analyte.Class","gene","r2","correlation","p-value","p.adj"
"Acetylcarnitine","Acylcarnitines","K00209",0.189480592758194,-0.462646503193352,0.00586865679778893,0.0361117348443162
"Acetylcarnitine","Acylcarnitines","K02847",0.204749653724759,0.478380757416551,0.00421278577700963,0.0328551567588514
"Acetylcarnitine","Acylcarnitines","K06282",0.228955374650132,0.502315004053331,0.00246787138619134,0.0283883804042138
"Aconitic.acid","Carboxylic acids","K03694",0.143854457155301,-0.412065846053672,0.0154544641455742,0.0498841080878906
"Aconitic.acid","Carboxylic acids","K13821",0.164010162983485,-0.435135827469564,0.0101132060763506,0.0438391629397836
"Alanine","Amino acids","K06079",0.250294058338355,-0.522505904470839,0.001524192474125,0.0240702123441686
"Alanine","Amino acids","K11645",0.233543168795168,-0.506723922246752,0.0022269130066103,0.0275597004157817
"Alanine","Amino acids","K13668",0.242441195030652,-0.515167470298703,0.00182214859324088,0.025709377807758
"Alanine","Amino acids","K14988",0.193632277920159,0.466977155156149,0.00536505375771474,0.0349522204531155
"Alanine","Amino acids","K18231",0.269103059243345,-0.539677173305937,0.000987792736774639,0.0213394421207663
"Alanine","Amino acids","K19159",0.221558193019669,-0.495123559009001,0.00290971360769079,0.029356227279358
"Alanine","Amino acids","K21557",0.193339779594789,-0.466673364033107,0.00539912730796181,0.0350119350742514
"alpha.Amino.butyric.acid","Amino acid related","K00634",0.206592941380157,-0.480245332637551,0.00404634016087089,0.0328151929389046
"alpha.Amino.butyric.acid","Amino acid related","K01046",0.175167934113403,-0.447395624923708,0.00797804405362233,0.0399609570799463
"alpha.Amino.butyric.acid","Amino acid related","K13252",0.206842694243145,-0.480497413223594,0.00402427949505345,0.0328151929389046
"alpha.Amino.butyric.acid","Amino acid related","K14048",0.163009855769354,-0.434019807696968,0.0103296041909357,0.0440518344524458
"alpha.Aminoadipic.acid","Amino acid related","K02567",0.288319828169982,0.556673956623635,0.0006282045044265,0.0200803068140577
"alpha.Aminoadipic.acid","Amino acid related","K02847",0.204435394443713,0.478062143234438,0.00424181090346505,0.0328785858011068
"Arginine","Amino acids","K00209",0.192383492642728,-0.465678773553619,0.00551198576525832,0.0353360942457971
"Arginine","Amino acids","K00528",0.219534902799038,-0.493138277048108,0.00304317925225476,0.0295482888686672
"Arginine","Amino acids","K01174",0.156809421697773,0.427037060854553,0.0117745498976958,0.0456817123850452
"Arginine","Amino acids","K03409",0.217494708846857,-0.491128283035046,0.00318368724203978,0.0300511130576076
"Arginine","Amino acids","K05966",0.246687614003498,0.519148593433516,0.00165474141228396,0.024675980359432
"Arginine","Amino acids","K15600",0.169961613989594,0.441717434966683,0.00891361626721448,0.0415968759136676
"Arginine","Amino acids","K19114",0.205388337210738,-0.479027638563144,0.00415438315711748,0.0328551567588514
"Asparagine","Amino acids","K02847",0.168785880413369,0.440425007313968,0.00913912541298565,0.0420167857959983
"Asymmetric.dimethylarginine","Amino acid related","K00374",0.186723236668289,0.459747742868065,0.00622795391816549,0.0366146868332572
"Asymmetric.dimethylarginine","Amino acid related","K01007",0.22841702396924,0.501795103875279,0.00249772878666656,0.0284332028084098
"Asymmetric.dimethylarginine","Amino acid related","K05772",0.286046118703308,0.554690079957455,0.000663109994520528,0.0206803244148877
