Baboon,Diet,DOB,Age_Yrs_PP_Anthro,BW (0.6G),SSF (0.6G),CRP (ng/ml),serum TGs (mg/dL),glucose (mg/dL),insulin (ng/ml),HDL mg/dL,LDL/VLDL mg/dL,CS_date,Age_Yrs_CS,Day_Gest,Mat_Wt_CS_KG,Placenta_Wt_G, Fetal_Sex,Fetal_Wt_KG,Heart_Wt_G,Fetal liver TGs,L miR-122-5p,L miR-204-5p,L miR-34a-5p,L miR-21-5p,L miR-183-5p,L miR-29a-3p,L miR-185-5p,L miR-145-3p,L miR-1285-3p,L miR-199a-5p,L miR-182-5p,P1 miR-204-5p,P2 miR-204-5p,P1 miR-183-5p,P2 miR-183-5p,P1 miR-185-5p,P2 miR-185-5p,P1 miR-145-3p,P2 miR-145-3p,P1 miR-1285-3p,P2 miR-1285-3p,P1 miR-199a-5p,P2 miR-199a-5p,P1 miR-182-5p,P2 miR-182-5p,P1 miR-34a-5p,P2 miR-34a-5p,P1 miR-21-5p,P2 miR-21-5p,P1 miR-29a-3p,P2 miR-29a-3p,P1 miR-126,P2 miR-126,HMOX1,TGFB1,FASN,SREBP1,NCF4,IL10,Il1B,Il6,COL3A1,LGALS3,FAP,TNFSF12,COL1A1,TREM2,VEGFA,VCAM1,ICAM1,TIMP1,TLR4,CCR2,NFE2L2,ACTA2,PDGFA,ACACA,CCL2,IL12B,SPP1,HNF4A protein,CYP1A1 protein
11514,WD,9/11/2014,4.88,20.1,31.6,11.632,79.3,NA,11.62,61,44.3,6/18/2020,5.77,171,17.6,230,M,1.05,7.55,9.375,1.018,0.494259133,1.290630745,1.0394,0.243028451,1.003,0.7864289,0.57775566,0.823232286,0.993612711,0.660035886,1.243996062,0.784364267,0.939570674,1.01261569,0.987615081,0.84955682,1.746269308,1.282240582,1.559655568,1.286272321,0.781169675,0.733754394,0.556724501,0.929516702,0.8598946,0.641271542,0.857072514,1.172575265,0.869599338,0.976936153,1.258080463,0.866837509,0.719,0.916,1.087,1.339,0.542,0.426,1.175,0.632,0.567,0.814,0.362,0.74,0.508,0.928,1.251,0.852,0.75,0.704,1.077,0.312,1.221,0.63,0.306,0.678,0.882,1.667,0.262,0.55732,0.58871
12313,WD,10/21/2013,5.78,18.4,16.7,5.96,83,51,1.5,67.2,35.7,6/11/2020,6.64,169,16.4,250,M,0.8,6.667,10.058,0.8674,0.318918868,0.572805171,0.6869,0.519068256,0.8833,0.681740884,0.542221723,0.655736152,0.479474521,0.51938115,0.881927377,0.575483325,0.706137694,0.723059772,0.817802828,0.686717608,0.808877519,0.821904956,1.121907965,1.15094097,0.623260811,0.67620973,0.673412792,0.647633499,0.556831215,0.76039736,0.715991055,0.460830312,0.964566229,0.848902551,0.741961277,0.841308823,0.641,0.627,0.154,0.252,0.306,0.656,0.454,0.513,0.734,0.736,0.369,0.67,0.305,1.241,0.795,0.6,0.821,0.52,1.117,0.741,0.97,0.262,0.347,0.335,0.37,0.35,0.786,0.65073,0.69142
16414,WD,11/23/2014,4.68,27.3,18.9,2.33,106,57,8.3,65.2,47.7,6/25/2020,5.59,166,17.9,215,F,0.8,6.537,11.487,0.8566,0.356171312,1.183413476,1,1.045277332,0.8679,0.973062845,0.576129456,2.518838417,0.728968129,1.402480359,0.727138825,0.568337446,0.865966158,0.683297915,1.07011818,1.175975907,1.032064928,1.189632934,0.857518077,1.10241372,1.041550367,0.840802814,0.768010695,0.709513182,0.815483723,0.69796397,0.922717062,0.798531503,0.833677417,0.971857984,0.947394914,0.841375562,0.37,0.812,1.438,1.82,0.721,0.705,0.35,2.647,1.901,0.86,0.266,1.016,0.281,0.396,1.656,0.266,0.221,0.686,0.741,NA,0.607,0.833,0.742,0.555,0.557,0.971,,0.54718,0.61028
13514,WD,10/17/2014,4.79,25.3,59.6,6.048,101.3,95,9.51,60.9,53,8/17/2020,5.84,168,27.1,NA,M,NA,7.85,NA,1.1287,0.306932244,1.774413206,1.133,0.536459662,0.9079,1.154065687,0.553360933,1.527691829,0.644909613,0.800389199,0.68282704,0.493673746,0.772759892,0.590241137,1.234261759,0.964172572,1.016261137,0.92321436,0.859993681,0.778093015,0.708314045,0.54459201,0.790052449,0.668974198,1.018143102,1.101946481,1.844537715,0.554996782,1.021480396,0.605973862,0.815020966,0.913346277,0.214,0.523,0.404,0.884,0.642,0.223,0.642,0.981,0.564,0.303,0.755,0.93,0.447,0.575,1.258,0.795,0.585,0.876,0.664,0.791,0.711,0.377,0.439,0.42,0.793,0.386,0.546,0.61817,0.51833
814,WD,1/8/2014,5.56,18.5,33.4,7.22,73.7,53,2.96,77.9,44.8,1/6/2021,7,165,21.9,245,F,0.75,5,10.298,1.1136,0.41579578,1.057576397,0.9454,0.471436843,0.9246,0.80009853,0.482072137,1.12327407,0.909937051,0.449962671,0.852387475,1.409714286,0.717632353,0.701988098,0.842443923,0.853315396,0.697141424,0.520193029,0.989732132,0.96276143,0.685906519,0.526138164,0.706096226,0.790720171,0.905462063,0.742212774,0.609309172,0.495402437,0.865822263,0.749430217,0.933110918,0.525794354,0.642,0.849,0.411,1.662,0.476,0.415,0.678,1.615,2.22,0.291,0.788,1.136,NA,0.925,1.283,0.64,0.88,1.162,1.356,0.545,0.971,1.256,0.479,0.697,0.945,0.825,0.643,0.65266,0.63205
3813,CD,4/1/2013,6.33,21.7,19.8,0.863,50.2,48,1.36,46.1,22.5,9/24/2020,7.49,169,22.7,250,F,0.862,5,7.082,1.0099,0.427989522,0.838208659,1.3598,0.885502248,0.8606,0.719679808,0.730061136,0.877912873,0.76294001,1.222634354,0.582178098,0.493893093,1.249967982,1.055786374,0.692115241,0.906246486,0.656908824,0.948789901,0.928719644,1.106876763,0.655225271,0.729660973,1.146844262,1.297452197,0.646835115,0.801820449,0.714301018,0.934564507,1.019890104,1.028918059,0.78295485,0.802356657,0.979,1.256,0.818,1.141,0.839,0.888,0.681,0.749,0.819,0.479,0.579,0.981,0.547,1.407,1.11,0.816,0.915,0.918,1.364,0.141,1.048,0.833,0.465,1.05,0.767,0.43,0.161,0.63031,0.65238
6012,CD,5/9/2012,7.23,21.6,33.7,0.487,68.7,71,2.15,45.7,25.6,12/11/2020,8.6,167,21.6,205,F,0.875,4.89,6.867,0.9273,0.872594384,1.546122312,1.006,1.51132489,1.0166,1.057608037,1.056926465,1.019997121,0.899987668,1.021191963,1.131461013,0.860471202,0.765299307,0.822850719,0.807332027,0.908067065,1.079369659,1.077670008,0.939875308,1.015396342,0.757648907,0.73183325,0.860119756,0.747783114,0.779820929,0.80240741,0.931725181,0.857364341,1.002860377,0.918447222,0.892358311,0.714873175,0.242,0.563,0.907,1,0.233,0.205,0.319,1.099,0.585,0.276,0.19,1.212,0.542,0.376,0.903,0.446,0.682,0.803,0.579,0.121,0.834,0.932,NA,0.802,0.591,0.479,1.099,0.48086,0.51148
6413,CD,5/24/2013,6.19,18,19.8,0.371,71.8,44,1.95,61.3,NA,12/21/2020,7.58,167,19.2,235,M,0.825,5,6.454,0.9476,0.623308039,0.886572849,1.082,0.432953244,0.9495,0.889047852,0.726320969,0.999424176,1.071906577,0.670927762,0.559317667,0.342609493,0.995722566,0.726348006,1.004240535,0.853033406,0.960719323,0.90933461,0.981426806,0.912380168,1.188183728,1.157601984,1.19185176,0.940262302,1.220662079,1.041010601,1.286215153,0.813538978,1.073359743,0.982040208,1.044074816,0.929422854,0.261,0.498,0.613,0.569,1.222,0.264,1.238,0.862,0.638,0.664,0.748,0.878,0.69,0.244,0.967,0.68,0.454,0.771,0.576,0.365,0.9,0.484,0.575,0.317,1.138,0.375,,0.52207,0.61452
10411,CD,NA,#VALUE!,19.5,22.7,0.388,59.1,51,1.35,59,24.2,3/25/2020,#VALUE!,166,21.4,240,M,0.885,7.39,6.9,0.8517,1.315265031,0.640625645,0.7796,1.015553657,0.828,1.039354041,0.729882114,0.624944881,0.689853822,0.767256256,1.117463906,1.391834181,1.097023798,1.20843932,0.912849324,0.91900685,0.675980002,1.098823162,1.104194,0.779267643,1.01319907,1.267683971,1.043252967,1.0810562,1.003575597,1.133768467,0.844006924,1.03243402,1.106030675,0.892025791,0.739140112,0.885766665,1.344,1.344,1.344,1.297,1.246,1.344,1,0.853,0.815,1.344,1.344,0.963,0.819,0.901,1,1,1,1,1,0.256,1,1,0.371,1,1,0.984,0.317,0.70274,0.62229
6515,CD,4/15/2015,4.29,17.8,15.6,1.73,65.2,43,1.53,54,22.9,6/22/2021,6.19,166,19,230,M,0.77,5.64,6.398,1.1379,1.478631558,1.023994717,0.9416,1.418137016,1.1379,1.165958816,0.879375575,1.200588804,1.21440615,1.388418752,1.629034484,2.354397218,0.895494063,1.075125365,NA,0.97301665,0.925469037,1.3534533,1.040597313,1.330941089,1.168020343,1.525109725,0.877286238,0.879924185,1.031860174,1.144061561,1.170916143,1.666494868,1.106266854,1.526154862,1.153643518,1.436970092,,,,,,,0.584,1.002,1.465,,,,,,,,,,,,1.113,0.305,,,0.401,1.928,1.067,0.54011,0.67243
