PTID,Group,ids.edit,time,Methanobacteriaceae,Actinomycetaceae,Actinomycetales_noname,Corynebacteriaceae,Dermabacteraceae,Dietziaceae,Micrococcaceae,Propionibacteriaceae,Bifidobacteriaceae,Coriobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Bacillaceae,Bacillales_noname,Staphylococcaceae,Carnobacteriaceae,Enterococcaceae,Lactobacillaceae,Leuconostocaceae,Streptococcaceae,Clostridiaceae,Clostridiales_Family_XI_Incertae_Sedis,Clostridiales_Family_XIII_Incertae_Sedis,Clostridiales_noname,Eubacteriaceae,Lachnospiraceae,Oscillospiraceae,Peptostreptococcaceae,Ruminococcaceae,Erysipelotrichaceae,Veillonellaceae,Fusobacteriaceae,Caulobacteraceae,Brucellaceae,Rhizobiaceae,Burkholderiales_noname,Sutterellaceae,Neisseriaceae,Desulfovibrionaceae,Campylobacteraceae,Aeromonadaceae,Enterobacteriaceae,Pasteurellaceae,Moraxellaceae,Pseudomonadaceae,Xanthomonadaceae,Verrucomicrobiaceae,Debaryomycetaceae,Saccharomycetales_noname,Myoviridae,Podoviridae,Siphoviridae,Herpesviridae,Adenoviridae,Baculoviridae,Retroviridae,Viruses_noname
CHO06,CONV,CHO06_2W,2W,0,0,0,0,0,7,0,0,26398,1012,4198,0,0,0,0,0,100,0,3,0,0,117,17,0,0,0,21,581,0,0,29,4,127,0,0,0,0,0,0,0,879,0,0,66485,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
CHO07,CONV,CHO07_2W,2W,0,0,0,1,0,2,58,0,42950,16,53603,136,0,12,0,1,175,0,44,0,0,117,9,0,0,0,10,18,0,0,14,2,53,0,0,0,0,0,0,0,1014,0,0,1672,83,0,0,0,9,0,0,0,0,0,0,0,0,0,0
CHO09,CONV,CHO09_2W,2W,0,0,0,0,0,2,0,2,80,0,33,3,0,1,0,2,407,0,2,0,0,264,7,0,0,0,9,2713,0,0,13,2,52,0,0,0,0,0,0,2,0,0,0,96395,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
CHO10,CHOICE,CHO10_2W,2W,0,0,0,0,0,1,0,10281,83708,3,25,1,0,1,0,92,665,0,408,0,0,312,5,56,0,0,8,15,0,0,12,1,3620,0,0,0,0,0,0,25,0,0,0,76,530,0,0,0,6,0,0,0,148,1,0,0,0,0,0
CHO11,CONV,CHO11_2W,2W,0,425,0,29,0,1,0,6865,58555,1,47,1,0,1,0,2,4626,0,3,51,0,23300,8,0,0,0,11,22,0,0,18,3,256,0,0,0,0,0,0,0,0,0,0,5766,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CHO13,CHOICE,CHO13_2W,2W,0,0,0,1,0,2,139,12,391,15,45,1,1,3,0,0,443,0,23,628,0,1056,7,0,0,0,16,23,0,0,24,2,38993,0,0,0,0,0,0,0,0,0,0,58159,4,0,0,0,9,0,0,0,2,1,0,0,0,0,0
CHO14,CONV,CHO14_2W,2W,0,0,0,0,0,0,83,1,259,0,26,1,0,1,0,0,310,0,12,5,0,4730,5,0,0,0,8,12,0,0,15,1,77505,182,0,0,0,0,0,0,0,0,0,14841,1975,0,0,0,6,0,0,0,21,0,0,0,0,0,0
CHO19,CHOICE,CHO19_2W,2W,0,0,0,0,0,3,0,3,125,0,43830,1187,0,8,0,0,258,0,2,2,0,476,9,0,0,0,10,11485,0,0,20,1,155,0,0,0,0,0,128,0,0,0,0,42287,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
CHO22,CONV,CHO22_2W,2W,0,0,0,0,0,1,79,2,114,495,20159,1174,4,2,0,2,1232,0,5,0,0,5702,1529,0,0,0,12,32197,0,0,2035,2,400,0,0,0,0,0,0,0,0,0,0,34485,357,0,0,0,11,0,0,0,0,0,0,0,0,0,0
CHO24,CONV,CHO24_2W,2W,0,1827,0,1445,0,2,4,2530,57304,0,36,1,0,1,0,1,5261,5,2,0,0,3270,42,0,0,0,8,16,0,0,26,2,28061,0,0,0,0,0,0,0,0,0,0,90,42,0,0,0,8,0,0,0,0,17,0,0,0,0,0
CHO26,CHOICE,CHO26_2W,2W,0,0,0,0,0,1,128,0,83,0,37,2,0,0,0,9,11050,0,2,0,0,31933,55356,0,0,0,8,12,0,0,20,0,180,0,0,0,0,0,0,0,0,0,0,1128,26,0,0,0,24,0,0,0,0,0,0,0,0,0,0
CHO32,CONV,CHO32_2W,2W,0,0,0,2,0,2,24,0,24922,5,35,1,2,0,0,0,1,0,842,988,0,1364,4806,0,0,0,5,12,0,875,15,0,55476,0,0,0,0,0,0,0,0,0,0,10619,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHO33,CONV,CHO33_2W,2W,0,51,0,0,0,1,3,0,99,85,50,1,3,1,0,4,232,0,0,1,0,672,3,0,0,0,4,8,0,0,16,0,10316,0,4,0,0,0,0,0,0,0,0,86502,18,16,0,0,4,231,1676,0,0,0,0,0,0,0,0
CHO36,CHOICE,CHO36_2W,2W,0,39,0,0,0,1,164,2,11747,3,47,0,9,1,0,0,7044,0,51,4,0,9121,9828,0,0,0,4,10,0,0,24,0,27521,0,0,0,0,0,0,0,0,0,0,31720,2656,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CHO37,CONV,CHO37_2W,2W,0,0,0,2,0,2,595,3,84059,4,43,1,4,0,5,2,153,0,1241,1848,0,2183,24,6,0,81,4,1255,0,29,320,541,6311,0,0,0,0,0,0,0,0,0,0,1275,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0
CHO46,CHOICE,CHO46_2W,2W,0,0,0,0,0,2,0,0,5113,1883,9833,0,32,0,0,5,573,0,6,1,0,29,1487,17,0,0,5,10,0,2,31,0,24,0,0,0,0,0,0,0,0,0,0,80944,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CHO47,CHOICE,CHO47_2W,2W,0,1,0,0,0,1,51,0,40880,3,37,0,5,1,0,0,110,0,2,1,0,235,3,0,0,0,4,11,0,0,16,0,36,0,0,0,0,0,0,0,0,0,0,58531,68,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CHO50,CHOICE,CHO50_2W,2W,0,0,0,0,0,2,206,1,10996,6,65,1,4,2,0,14,738,0,1,370,0,8589,6075,0,0,0,5,17,0,0,28,1,815,0,0,0,0,0,0,0,0,0,0,72043,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CHO53,CHOICE,CHO53_2W,2W,0,0,0,0,0,2,0,0,99,4,7330,0,5,1,0,0,169,0,1,180,0,230,4,0,0,0,5,5399,0,0,27,0,28,0,0,0,0,0,0,0,0,0,0,86504,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CHO56,CONV,CHO56_2W,2W,0,0,0,0,0,1,6,0,130,4,60,0,5,1,0,0,5344,0,5696,1,0,35181,129,0,0,0,6,37369,0,0,26,0,15821,0,0,0,0,0,0,0,0,0,0,196,19,0,0,0,6,0,0,0,1,0,0,0,0,0,0
CHO01,CONV,CHO01_2M,2M,0,349,0,1,0,1,1,453,33033,927,47,3,0,0,0,0,91,0,298,284,0,46,50,414,0,0,11,16,0,0,27,1,135,0,0,0,0,0,0,0,0,0,0,55662,0,0,0,0,8148,0,0,0,0,0,0,0,0,0,0
CHO06,CONV,CHO06_2M,2M,0,1,0,0,0,2,78,2,71674,1295,11626,0,1,1,0,3,27,0,2,6,0,1251,764,0,0,9,11,2106,0,0,4180,3,1315,0,0,0,0,0,0,0,31,0,0,5230,364,0,0,0,17,0,0,0,0,0,0,0,0,0,0
CHO07,CONV,CHO07_2M,2M,0,0,0,1,0,5,99,3,57341,27,21753,6,0,3,0,7,10,0,247,388,0,187,8,0,0,0,11,5074,0,0,26,2446,9940,0,0,0,0,0,0,0,1,0,0,1490,915,0,0,0,12,0,0,0,0,0,0,0,0,0,0
CHO09,CONV,CHO09_2M,2M,0,0,0,0,0,2,68,2,97,1,46,1,10,1,0,4,585,0,2,110,0,1793,3041,5,0,0,13,26256,0,3,26,2,54,0,0,0,0,0,0,0,0,0,0,67868,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
CHO10,CHOICE,CHO10_2M,2M,0,18,0,0,0,3,336,0,63405,60,34,0,0,1,0,1,127,0,284,0,0,1063,3,0,0,0,13,27,0,0,26,1,570,0,0,0,0,0,0,0,0,0,0,33858,140,0,0,0,10,0,0,0,19,0,0,0,0,0,0
CHO11,CONV,CHO11_2M,2M,0,0,0,0,0,2,66,2,7428,7,55,2,1,0,0,0,187,0,1749,0,0,228,7,0,0,0,11,23,0,0,21,1,41300,0,0,0,0,0,0,0,0,0,0,48902,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0
CHO13,CHOICE,CHO13_2M,2M,1,0,0,11,0,5,76,2868,37229,43,94,3,4,3,0,0,75,0,257,9272,0,903,1064,420,0,68,24,148,0,54,37,5,17364,1,0,0,0,0,0,0,0,0,0,13431,1,0,0,0,16518,0,0,0,0,23,0,0,0,0,0
CHO19,CHOICE,CHO19_2M,2M,0,0,0,0,0,2,40,0,42417,25,630,319,0,2,0,0,24,0,36,1656,1,2299,7,0,0,0,9,80,0,0,24,2,239,0,0,0,0,0,0,0,0,0,0,52175,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CHO22,CONV,CHO22_2M,2M,0,668,4,0,0,3,225,2,118,177,12034,2177,0,1,0,0,136,0,23,0,0,2007,1329,1,0,0,14,1551,0,0,22554,3,2040,0,0,0,0,0,0,0,0,0,0,54887,35,0,0,0,11,0,0,0,0,0,0,0,0,0,0
CHO24,CONV,CHO24_2M,2M,0,186,0,0,0,3,110,8,7303,4,71,3,0,2,0,9,4,0,508,0,0,2560,4737,0,0,0,16,27,0,0,40,3,68381,70,0,0,0,0,0,13,0,3,0,8449,7442,0,0,0,11,0,0,0,39,0,0,0,0,0,0
CHO26,CHOICE,CHO26_2M,2M,0,0,0,4,0,0,126,4,39549,364,33,2,0,2,0,8,325,6,3,0,0,6127,305,0,0,6,9,16,0,34,17,18861,5704,0,0,0,0,0,0,0,0,0,0,28485,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
CHO30,CONV,CHO30_2M,2M,0,0,0,0,0,12,1,15,10028,195,52100,8,9,48,0,0,0,0,0,1,0,17,1656,0,0,62,12,18,0,8,34,0,33553,0,0,0,0,75,281,0,0,0,0,1809,49,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CHO32,CONV,CHO32_2M,2M,0,0,0,5,0,3,82,0,31079,202,41,2,4,0,0,3,18,0,456,1085,0,652,18,29,0,0,4,350,0,711,6347,0,605,0,0,0,0,0,0,0,0,0,0,58297,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CHO33,CONV,CHO33_2M,2M,0,1828,0,0,0,3,21,0,174,74,84,1,7,2,0,10,10,0,1991,1,0,1238,1357,0,0,815,7,28,1,52,34,0,5425,0,0,0,0,0,0,0,0,0,0,86168,22,7,0,8,8,86,538,0,0,0,0,0,0,0,0
CHO34,CONV,CHO34_2M,2M,0,341,0,0,0,5,148,0,68644,75,17926,1655,4,0,0,0,40,0,11,0,0,536,16,0,0,0,5,12,0,0,19,0,317,0,0,0,0,0,84,0,0,0,0,10150,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0
