"measure","xvar","r2","correlation","p.value.xvar","padj"
"Alanine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.283451421,-0.565047653,0.007606384,0.039073891
"Alanine","Lactobacillales.Lactobacillaceae.Lactobacillus",0.199464517,0.489378474,0.024348106,0.071894012
"Arginine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.176024719,-0.466072401,0.033209549,0.0864832
"Asparagine","Clostridiales.Mogibacteriaceae.unclassified",0.24155144,-0.528652881,0.013745922,0.055427107
"Asparagine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.121512638,-0.406739482,0.06727649,0.139384992
"Aspartate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.10548561,0.387571064,0.082578912,0.157555527
"Cysteine","Clostridiales.Ruminococcaceae.unclassified",0.189607551,-0.479715721,0.027760006,0.078270695
"Cysteine","Clostridiales.Mogibacteriaceae.unclassified",0.161759057,-0.451299351,0.040022333,0.098881023
"Cysteine","Clostridiales.Ruminococcaceae.Anaerotruncus",0.107722299,-0.390302683,0.080253164,0.156223694
"Cysteine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.094699918,-0.37411886,0.094769535,0.167634791
"Cysteine","Turicibacterales.Turicibacteraceae.Turicibacter",-0.005295785,-0.212058964,0.356097021,0.437824207
"Cysteine","Clostridiales.Ruminococcaceae.Ruminococcus",-0.015158168,0.188678934,0.4127369,0.491353452
"Glutamate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.226793328,0.515221954,0.016836617,0.063775066
"Glycine","Bacteroidales.S24.7.unclassified",0.478985084,-0.71065873,0.000305611,0.009027182
"Glycine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.444888697,0.687491281,0.00057382,0.009781029
"Glycine","Clostridiales.Mogibacteriaceae.unclassified",0.38672524,0.646056482,0.001556843,0.015997803
"Glycine","Turicibacterales.Turicibacteraceae.Turicibacter",0.382669289,-0.643067512,0.001663772,0.015997803
"Leucine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.214093996,0.503377887,0.020005331,0.070112141
"Isoleucine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.107171574,-0.389631872,0.080819724,0.156223694
"Lysine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.385425638,-0.645100268,0.001590401,0.015997803
"Lysine","Clostridiales.Ruminococcaceae.Ruminococcus",0.128100627,0.414361673,0.061827349,0.132854384
"Methionine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.512302466,-0.732589477,0.000158986,0.006645078
"Phenylalanine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.105384994,-0.387447731,0.08268509,0.157555527
"Proline","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.50423759,-0.727341537,0.000186929,0.006650578
"Serine","Turicibacterales.Turicibacteraceae.Turicibacter",0.208651862,-0.498216087,0.021527781,0.070771764
"Serine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.18390549,0.474036091,0.029935377,0.080760908
"Serine","Bacteroidales.S24.7.unclassified",0.131142003,-0.417833583,0.059459427,0.130687675
"Serine","Clostridiales.Ruminococcaceae.Anaerotruncus",0.125152144,-0.410967805,0.064210617,0.134575444
"Serine","Clostridiales.Ruminococcaceae.Ruminococcus",0.116265184,0.400564507,0.071950832,0.146638924
"Threonine","Turicibacterales.Turicibacteraceae.Turicibacter",0.228698068,-0.516975013,0.016404079,0.06277071
"Threonine","Clostridiales.Mogibacteriaceae.unclassified",0.220141418,0.509052402,0.018432435,0.066463108
"Threonine","Clostridiales.Lachnospiraceae.unclassified.1",0.143859421,0.432049129,0.050477468,0.11684599
"Threonine","Bacteroidales.S24.7.unclassified",0.070082898,-0.341436309,0.129823978,0.208051246
"Threonine","Clostridiales.Ruminococcaceae.Ruminococcus",0.049267065,0.311132948,0.169800642,0.256755003
"Threonine","Clostridiales.Ruminococcaceae.unclassified",0.021311148,0.265038847,0.245600767,0.33985346
"Threonine","Clostridiales.Lachnospiraceae.unclassified",-0.042166122,-0.0997105,0.667176697,0.744616849
"Threonine","Bacteroidales.Porphyromonadaceae.Parabacteroides",-0.049242855,0.056738772,0.807010217,0.857305471
"Tryptophan","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.187331418,-0.477456645,0.028609756,0.078311377
"Tyrosine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.462005747,-0.699217749,0.00042015,0.009242847
"Valine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.161707899,0.451245503,0.040049012,0.098881023
"Valine","Bacteroidales.S24.7.unclassified",0.096589768,-0.376510663,0.092510765,0.166912311
"Valine","Clostridiales.Lachnospiraceae.unclassified",0.094967021,-0.374457835,0.094446972,0.167634791
"Valine","Clostridiales.Ruminococcaceae.Anaerotruncus",0.084165553,-0.360495874,0.10841432,0.184797136
"Valine","Clostridiales.Mogibacteriaceae.unclassified",0.077092939,0.351053118,0.118674533,0.197790888
"Valine","Clostridiales.unclassified.unclassified",0.021817384,0.265944571,0.243930533,0.338792407
"Valine","Clostridiales.Ruminococcaceae.unclassified",0.004678956,0.233334542,0.308707409,0.396456433
"Valine","Lactobacillales.Lactobacillaceae.Lactobacillus",0.000582829,0.224841472,0.327143209,0.414455079
"Valine","Clostridiales.Ruminococcaceae.Oscillospira",-0.01080987,0.199325422,0.386362786,0.465871526
"Valine","Clostridiales.Lachnospiraceae.Coprococcus",-0.019070232,0.178558897,0.438688415,0.515699547
"Valine","Clostridiales.Lachnospiraceae.unclassified.1",-0.027807321,0.15356772,0.506304119,0.582405045
"Valine","Turicibacterales.Turicibacteraceae.Turicibacter",-0.041715312,-0.101835425,0.660489132,0.739353506
"Valine","Clostridiales.Ruminococcaceae.Ruminococcus",-0.043610636,0.092573731,0.689813376,0.765325491
"Valine","Bacteroidales.Porphyromonadaceae.Parabacteroides",-0.052078606,0.022919948,0.921445224,0.942463269
"Valine","Bacteroidales.Rikenellaceae.unclassified",-0.052143551,0.021531993,0.926189347,0.943807079
"Cystine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.217733122,-0.506800223,0.019044368,0.067373944
"Cystine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.013946471,0.251493833,0.271456909,0.36355836
"Cystine","Clostridiales.Ruminococcaceae.unclassified",0.006195036,-0.236400686,0.302210128,0.39214117
"AMP","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.262915064,0.547511928,0.010197491,0.044390133
"Adenine","Clostridiales.Lachnospiraceae.unclassified",0.18835765,-0.478476507,0.028223627,0.078311377
"Adenine","Lactobacillales.Lactobacillaceae.Lactobacillus",0.100224788,-0.381068955,0.088316268,0.162346081
"Adenine","Clostridiales.Ruminococcaceae.Ruminococcus",0.043801203,-0.302673326,0.182325909,0.273488863
"Adenine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.003380861,-0.230676868,0.314407182,0.399670146
"Adenine","Clostridiales.Ruminococcaceae.unclassified",-0.008368435,0.205060935,0.372556222,0.452131338
"Adenine","Turicibacterales.Turicibacteraceae.Turicibacter",-0.022392314,-0.169491302,0.462652413,0.537135154
"GMP","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.147565314,0.4361044,0.048117289,0.112774897
"Cytidine","Bacteroidales.S24.7.unclassified",0.108207761,-0.390893045,0.079757005,0.156223694
"Thymine","Lactobacillales.Lactobacillaceae.Lactobacillus",0.229927654,0.518103533,0.016130405,0.062359814
"Thymine","Clostridiales.Mogibacteriaceae.unclassified",0.163311868,-0.452930761,0.039220582,0.098709518
"Thymine","Turicibacterales.Turicibacteraceae.Turicibacter",0.145369151,0.433705768,0.049502778,0.115301503
"Thymine","Clostridiales.Ruminococcaceae.Ruminococcus",-0.019065241,0.178572172,0.438653817,0.515699547
"UMP","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.195878166,0.485885026,0.025540823,0.074246578
"Uracil","Bacteroidales.S24.7.unclassified",0.201709368,-0.49155254,0.023628496,0.070780857
"IDP","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.093156646,-0.372154287,0.096654972,0.170167204
"IMP","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.466549855,0.702297915,0.000386195,0.009242847
"Inosine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.346612196,-0.615858414,0.00295526,0.020909857
"Inosine","Clostridiales.Mogibacteriaceae.unclassified",0.253259188,-0.53906978,0.011679893,0.049213034
"Inosine","Lactobacillales.Lactobacillaceae.Lactobacillus",0.225609522,0.514129406,0.017110798,0.064165494
"Inosine","Clostridiales.Ruminococcaceae.unclassified",0.048501133,-0.309961412,0.171498876,0.25828144
"Hypoxanthine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.091428642,0.369942171,0.098810785,0.172344392
"Hypoxanthine","Clostridiales.Ruminococcaceae.Ruminococcus",0.061968254,-0.329954302,0.144089884,0.226082454
"Hypoxanthine","Lactobacillales.Lactobacillaceae.Lactobacillus",0.029417905,0.279189918,0.220341734,0.31180434
"Hypoxanthine","Clostridiales.Mogibacteriaceae.unclassified",0.015238765,0.253922875,0.266698836,0.359755624
"Hypoxanthine","Clostridiales.Lachnospiraceae.Coprococcus",-0.001295686,0.220837267,0.336057814,0.422891544
"Hypoxanthine","Bacteroidales.Rikenellaceae.unclassified",-0.013961862,0.191666979,0.405237767,0.485508507
"Hypoxanthine","Bacteroidales.Porphyromonadaceae.Parabacteroides",-0.0188411,-0.179167394,0.437104124,0.515699547
"Hypoxanthine","Clostridiales.Lachnospiraceae.unclassified.1",-0.034239997,0.132181704,0.567892837,0.641445222
"Hypoxanthine","Clostridiales.Ruminococcaceae.unclassified",-0.041229211,0.104078096,0.653457922,0.733672816
"Hypoxanthine","Turicibacterales.Turicibacteraceae.Turicibacter",-0.052500514,-0.011158497,0.96171245,0.966869085
"Xanthine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.08259691,0.358423024,0.110609319,0.186840066
"Xanthine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.024187822,-0.270145203,0.236280158,0.331854154
"Xanthine","Clostridiales.Ruminococcaceae.Ruminococcus",0.015255228,-0.253953671,0.266638852,0.359755624
"Xanthine","Clostridiales.Lachnospiraceae.Coprococcus",0.011157546,0.24617,0.282070904,0.371145926
"Xanthine","Clostridiales.Mogibacteriaceae.unclassified",0.005528726,0.235058056,0.305044854,0.394454553
"Xanthine","Clostridiales.Ruminococcaceae.unclassified",-0.030506898,0.144977403,0.530649332,0.606687499
"Xanthine","Bacteroidales.S24.7.unclassified",-0.052585756,-0.006597853,0.977355946,0.979969198
"Allantoate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.040180577,-0.296936943,0.191168398,0.282490289
"(S)(+)-Allantoin","Clostridiales.Ruminococcaceae.Ruminococcus",0.277443047,0.559974013,0.008292996,0.04091939
"(S)(+)-Allantoin","Lactobacillales.Lactobacillaceae.Lactobacillus",0.127037003,0.413140597,0.062676952,0.133544642
"Urate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.089496324,-0.367452728,0.101278771,0.173622921
"Pyridoxal","Bacteroidales.S24.7.unclassified",0.419206481,0.669511879,0.000901466,0.013001916
"Pyridoxal","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.392370921,-0.650194105,0.001418435,0.015644508
"Pyridoxal","Clostridiales.Mogibacteriaceae.unclassified",0.395714975,-0.652632536,0.001341847,0.015644508
"Pyridoxal","Clostridiales.Ruminococcaceae.unclassified",0.100853427,-0.381851745,0.087610354,0.161841788
"4-Pyridoxate","Clostridiales.Mogibacteriaceae.unclassified",0.452313633,-0.692602304,0.000501799,0.009408726
